station_name,latitude,longitude,total_bikes,station,distance,review_count,rating,price
Louisbourg / O'Brien,45.53039449604383,-73.70393217686795,21,338,851.7222222222222,3.9444444444444446,7.562222222222222,1.8333333333333333
de Gaspé / de Liège,45.54248521237199,-73.63634169101715,21,339,541.6666666666666,23.40740740740741,8.586296296296297,1.6296296296296295
Mozart / St-Laurent,45.53328624709234,-73.61546382309369,21,340,286.6111111111111,93.61111111111111,8.127222222222223,2.0555555555555554
Stinson / Montpellier,45.51962176248447,-73.6662483215332,21,341,674.2,10.7,7.7505,1.65
André-Laurendeau / Rachel,45.54303187243879,-73.56256484985352,21,342,360.6923076923077,27.884615384615383,8.186153846153847,2.0
Wolfe / Robin,45.51958082831579,-73.5601159930229,21,343,386.59375,150.71875,8.2796875,2.125
19e avenue / St-Zotique,45.56168275734862,-73.58564794063568,21,344,728.2051282051282,5.538461538461538,8.357179487179488,1.8974358974358974
Métro Frontenac (Ontario / du Havre),45.533705987798946,-73.55217933654784,21,345,401.8,10.933333333333334,8.125333333333334,1.6
Casgrain / St-Viateur,45.52751292628879,-73.59879076480864,21,346,413.18518518518516,118.48148148148148,8.377777777777778,2.259259259259259
Parthenais / du Mont-Royal,45.53640396516409,-73.57141345739365,21,347,527.46875,55.71875,8.7021875,2.0625
Duluth / de l'Esplanade,45.515132275425785,-73.58105599880219,21,348,483.45714285714286,452.3142857142857,8.202,1.9142857142857144
Berlioz / de l'Île des Soeurs,45.45998577640931,-73.54395568370819,21,349,790.7916666666666,5.5,7.0008333333333335,2.0416666666666665
William / Robert-Bourassa,45.49716534003792,-73.55933010578154,21,350,432.3142857142857,352.25714285714287,8.717714285714285,2.6857142857142855
Parc des Rapides (LaSalle / 6e avenue),45.42947143740888,-73.59309915918857,21,351,347.27272727272725,5.909090909090909,7.135454545454545,2.090909090909091
Cartier / Dandurand,45.53923559055867,-73.58594566583633,21,352,566.25,65.54166666666667,8.503333333333334,2.1666666666666665
St-Cyril / Wiseman,45.52085479492202,-73.61573964357376,20,353,447.4,61.833333333333336,8.238666666666667,2.1666666666666665
de Maisonneuve / Aylmer (est),45.50538591756765,-73.5704317688942,20,354,476.575,289.125,8.1455,2.325
Resther / du Mont-Royal,45.52562819123256,-73.58177483081818,20,355,465.29411764705884,377.5882352941176,8.414705882352942,2.0
Marché Maisonneuve,45.55321884238814,-73.53978216648102,20,356,339.1,35.0,8.126,1.9333333333333333
de l'Esplanade / du Mont-Royal,45.51825290855221,-73.5883381962776,20,357,337.20588235294116,173.61764705882354,8.313823529411765,1.9411764705882353
Parc de la Confédération (Fielding / West Hill),45.471881993586074,-73.64002168178558,20,358,515.9,18.766666666666666,7.377,1.8333333333333333
Métro Jarry (Lajeunesse / Jarry),45.54355974189168,-73.62777203321457,20,359,319.2413793103448,31.137931034482758,8.683103448275862,1.7586206896551724
du Mans / des Alouettes,45.58033485941123,-73.68471868336201,20,360,582.5,4.071428571428571,7.751428571428572,1.8571428571428572
Boucher / St-Denis,45.527930077456865,-73.59183847904205,20,361,743.1481481481482,187.22222222222223,8.461481481481481,2.037037037037037
Mairie d'arrondissement Montréal-Nord (Hébert / de Charleroi),45.59398503487043,-73.63767206668854,20,362,614.6428571428571,4.321428571428571,5.500714285714286,1.8571428571428572
O'Brien / Poirier,45.52252484113786,-73.69143962860107,20,363,680.8695652173913,8.826086956521738,7.751739130434783,1.9130434782608696
Earnscliffe / Queen-Mary,45.481845071377414,-73.63037377595901,20,364,433.59375,38.28125,7.6446875,2.09375
Quai Yvon-Julien (Marie-Victorin / de Montarville),45.606718042243784,-73.45692034810781,20,365,665.2,3.6,6.178,2.0
Labadie / du Parc,45.5198946757576,-73.59682738780975,19,366,339.85714285714283,129.75,8.436071428571429,2.3214285714285716
de Bellechasse / de St-Vallier,45.53341043363302,-73.60112428665161,19,367,537.078947368421,81.05263157894737,8.315000000000001,2.1315789473684212
Parc Georges St-Pierre (Oxford / Upper Lachine),45.46887995929811,-73.60943913459778,19,368,564.9166666666666,54.208333333333336,8.079583333333334,1.9583333333333333
Métro Monk (Allard / Beaulieu),45.451030919298056,-73.5939010977745,19,369,452.0285714285714,8.914285714285715,7.976000000000001,1.8571428571428572
Sewell / Roy,45.51467743947122,-73.57659816741943,19,370,387.78125,409.9375,8.2796875,2.25
Plessis / Ontario,45.52359493664824,-73.56099039316177,19,371,498.5357142857143,122.25,8.315000000000001,2.25
McKenna / Édouard-Montpetit,45.50116506773693,-73.62054750323296,19,372,689.4444444444445,55.861111111111114,7.7811111111111115,1.9722222222222223
de Gaspé / Beaubien,45.531957916826386,-73.60700100660324,19,373,345.4117647058824,84.20588235294117,8.481176470588236,2.1470588235294117
du Parc-La Fontaine / Duluth,45.52451761488783,-73.57197672128677,19,374,557.1071428571429,388.07142857142856,8.637857142857143,2.1785714285714284
Benny / Sherbrooke,45.4648769981855,-73.62659722566605,19,375,716.2692307692307,38.88461538461539,7.881153846153847,1.8076923076923077
Parc Henri-Julien (Legendre / Henri-Julien),45.54604066779937,-73.64660114049911,19,376,647.3103448275862,10.517241379310345,8.450000000000001,1.7241379310344827
Boyer / St-Zotique,45.53848,-73.60556,19,377,509.6578947368421,76.07894736842105,8.492894736842105,2.1842105263157894
de Melrose / Sherbrooke,45.46991202213883,-73.61735232174397,19,378,308.03125,52.40625,8.068125,1.875
Villeneuve / St-Urbain,45.520188,-73.590559,19,379,427.97058823529414,122.8529411764706,8.315000000000001,2.2058823529411766
Notre-Dame / McGill,45.501023131616485,-73.55944812297821,19,380,269.4375,426.03125,8.4915625,2.71875
Gare LaSalle (Highlands),45.425612687757926,-73.65713578464238,19,381,451.125,2.0,9.71875,2.0
de la Côte St-Antoine / Argyle,45.48624101696415,-73.59572768211365,19,382,639.4375,70.0,7.89125,2.0625
Poupart / Ontario,45.531836726498305,-73.55348825454712,19,383,654.92,19.96,8.2452,1.84
Parc de Bullion (de Bullion / Prince-Arthur),45.515604257816335,-73.57213497161865,19,384,377.8918918918919,375.7027027027027,8.452432432432433,2.2972972972972974
Parc Chamberland (Dorais / de l'Église),45.502989,-73.689113,19,385,789.4,11.72,6.444,1.96
Hochelaga / Chapleau,45.53431661378577,-73.55970561504364,19,386,830.3125,28.53125,8.315000000000001,2.0625
Notre-Dame  / St-Martin,45.48830194643546,-73.56871783733366,19,387,362.037037037037,171.88888888888889,7.750370370370371,2.962962962962963
de Normanville / Villeray,45.547172039327485,-73.61815631389618,19,388,768.88,33.04,8.7872,1.92
Bourget / St-Jacques,45.48067368593179,-73.58351558446884,19,389,524.3714285714286,194.14285714285714,8.169714285714285,2.2857142857142856
Louis-Hébert / Bélanger,45.55158518908433,-73.59916493296623,19,390,505.8333333333333,26.233333333333334,8.24,1.8666666666666667
Clark / de Liège,45.5399716347916,-73.638114631176,19,391,507.88461538461536,21.653846153846153,8.747307692307693,1.7307692307692308
Parc du Bois-Franc (de l'Équateur / des Andes),45.51317758246596,-73.71306091547012,19,392,496.45,5.05,7.6935,2.0
Berri / Rachel,45.52275023118295,-73.57724860310555,19,393,334.58620689655174,331.9310344827586,8.568275862068965,2.103448275862069
Marie-Anne / de la Roche,45.527550507601894,-73.5762870311737,19,394,485.0,338.5945945945946,8.26918918918919,2.027027027027027
Cartier / Masson,45.5380207402854,-73.58352363109587,19,395,484.0,54.275862068965516,8.412413793103449,2.2758620689655173
Clark / Fleury,45.54758205939525,-73.66522908210754,19,396,337.1034482758621,7.793103448275862,8.409310344827587,1.8275862068965518
de la Vérendrye / 75e avenue,45.42070552680549,-73.62966051438889,19,397,800.2,10.433333333333334,7.937,1.7333333333333334
Clark / de l'Arcade,45.527371996141,-73.60398352146149,19,398,503.9428571428571,142.28571428571428,8.363428571428573,2.3142857142857145
de la Côte-Ste-Catherine / Decelles,45.50094101588506,-73.62563699483871,19,399,418.6551724137931,52.89655172413793,7.554827586206897,1.9310344827586208
Bassin olympique (Chemin du Chenal le Moyne),45.5169025120042,-73.52724552154541,19,400,788.7083333333334,8.833333333333334,6.108750000000001,2.0
Préfontaine / Marcel-Pépin,45.54365380040509,-73.55942063033581,19,401,482.75757575757575,21.0,8.058787878787879,2.0606060606060606
de Bleury / de Maisonneuve,45.507096455662456,-73.56844156980515,19,402,373.93939393939394,230.12121212121212,7.922121212121212,2.242424242424242
Parc J.-Arthur-Champagne (de Chambly / du Mont-Royal),45.551584,-73.561916,19,403,851.12,35.16,8.110800000000001,1.76
Dixie / 54e avenue,45.44338026469991,-73.71789157390594,19,404,631.5,11.666666666666666,6.061666666666667,2.3333333333333335
Métro de la Concorde (Léo-Lacombe),45.5604898518365,-73.7091851234436,19,405,739.0588235294117,1.8235294117647058,6.228235294117646,1.7647058823529411
Wellington / 3e avenue,45.45734622161475,-73.56757521629333,19,407,330.0625,31.8125,8.1740625,1.84375
Parc de l'Hôtel-de-Ville (Ste-Julie / Laurendeau),45.63068604376728,-73.4948467835784,19,408,380.25,1.0,10.0,2.0
Stationnement incitatif de Montarville (de Montarville),45.6011635681891,-73.44999354332685,19,409,377.42857142857144,4.428571428571429,5.824285714285715,2.0
du Parc / François-Foucault,45.605785392139126,-73.66273999214172,19,410,778.8333333333334,3.5,9.251666666666667,2.0
Louis-Hémon / Rosemont,45.544500877623655,-73.58810484409332,19,411,517.9428571428572,30.4,8.75,1.9142857142857144
de Maisonneuve / Mansfield (nord),45.502386079583346,-73.57333794236183,19,412,334.35897435897436,300.56410256410254,8.011282051282052,2.230769230769231
Garnier / Villeray,45.54948004519436,-73.61605471489383,19,413,509.95,13.4,8.8205,1.65
Tolhurst / Fleury,45.54407915308118,-73.66735741496086,19,414,372.1388888888889,10.444444444444445,8.062222222222223,2.0555555555555554
Métro Cartier,45.56007440937141,-73.68125259876251,19,415,456.1818181818182,3.3636363636363638,6.625454545454545,2.0
Cartier / St-Joseph,45.53582823686429,-73.57869029045105,19,416,499.57142857142856,80.38095238095238,8.448809523809524,2.0714285714285716
Terminus Newman (Airlie / Lafleur),45.425059666150744,-73.64959917962551,19,417,767.5185185185185,5.62962962962963,6.416666666666667,1.8888888888888888
Parc LaSalle (10e avenue / Victoria),45.43805550384184,-73.67273926734924,19,418,580.59375,11.125,7.6803125,1.8125
de la Montagne / Sherbrooke,45.500015468871446,-73.57938900589943,19,419,364.64102564102564,287.35897435897436,8.097435897435897,2.358974358974359
Duchesneau / de Marseille,45.60962627826218,-73.52273898082785,19,420,767.3333333333334,3.8333333333333335,6.483750000000001,2.0
Chabot / Mont-Royal,45.53413436610844,-73.57352435588837,19,421,465.09090909090907,179.66666666666666,8.502424242424244,2.121212121212121
Bloomfield / Ball,45.52995941738481,-73.6329460144043,19,422,478.2105263157895,46.473684210526315,7.573157894736843,1.5789473684210527
Parc Laurier (Laurier / Dubuc),45.533610547532355,-73.47374618053436,19,423,774.3,2.966666666666667,7.375333333333333,1.9333333333333333
Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295,19,424,439.8888888888889,414.4166666666667,8.377777777777778,2.6666666666666665
Joseph-Manseau / René-Lévesque,45.491686521008035,-73.57676714658737,19,425,640.9756097560976,336.780487804878,8.163414634146342,2.2439024390243905
Logan / Fullum,45.52836601591233,-73.55117082595825,19,426,631.08,51.48,8.1104,2.0
de Mortagne / Jean-Neveu,45.56923752103412,-73.44949901103973,19,427,291.2692307692308,4.884615384615385,7.056923076923076,2.1153846153846154
Parc du Pélican (2e avenue / St-Joseph),45.54458083116821,-73.5717111825943,19,428,611.9666666666667,26.266666666666666,8.277333333333335,1.8
de Mortagne / de Montarville,45.59147977279279,-73.43605846166611,19,429,417.67857142857144,5.035714285714286,7.470357142857144,2.107142857142857
St-Charles / Grant,45.539824,-73.508752,19,430,294.84375,10.5625,8.278125,2.125
St-Hubert / Laurier,45.52893724049854,-73.58786880970001,19,431,619.0,179.59259259259258,8.335925925925928,2.111111111111111
Georges-Vanier / Notre-Dame,45.485047979822774,-73.5719633102417,19,432,525.8148148148148,198.85185185185185,8.21037037037037,2.5925925925925926
de Gaspé / Marmier,45.529668174024685,-73.60166944563389,19,433,581.1818181818181,139.21212121212122,8.366363636363637,2.303030303030303
du Parc-La Fontaine / Roy,45.5232203879173,-73.56916093829568,19,434,667.12,442.8,8.563600000000001,2.28
Grand Boulevard / Sherbrooke,45.46670033299904,-73.62355081379064,19,435,504.2,44.6,8.0212,1.88
de Soissons / de Darlington,45.50689914049937,-73.623526096344,19,436,897.8846153846154,39.19230769230769,7.7930769230769235,1.8846153846153846
de l'Hôtel-de-Ville / Roy,45.51733075399989,-73.57449866831303,19,437,385.8888888888889,467.1111111111111,8.283611111111112,2.2222222222222223
8e avenue / Dandurand,45.550113551561694,-73.5772217810154,19,438,322.59375,14.15625,7.996875,1.71875
de Bordeaux / Sherbrooke,45.529914321737415,-73.56302618980408,19,439,753.0,77.27777777777777,8.43888888888889,1.7777777777777777
