station_name,latitude,longitude,total_bikes,station,distance,rating,popularity,price
Métro Henri-Bourassa (Henri-Bourassa / Millen),45.55675103297278,-73.66716161370277,16,593,608.6923076923077,7.0588235294117645,0.9227307692307692,1.619047619047619
Place Valois (Valois / Ontario),45.54714142711512,-73.54339510202408,16,594,393.47058823529414,7.57948717948718,0.940764705882353,1.7380952380952381
Édouard-Montpetit / de Stirling,45.50723,-73.615085,16,595,702.0,6.35,0.9001666666666667,1.1818181818181819
Parc Molson (d'Iberville / Beaubien),45.54902230455398,-73.59198164194822,16,596,571.5531914893617,7.760606060606062,0.9261276595744681,1.5869565217391304
St-André / Ontario,45.51889,-73.56353,16,597,624.7045454545455,8.042045454545455,0.9587500000000001,1.9113924050632911
Drolet / Marie-Anne,45.52240257341408,-73.58117669820786,16,598,548.9478260869565,8.651304347826088,0.9448695652173913,1.537037037037037
Fairmount / Hutchison,45.51962428783392,-73.5983119904995,16,599,569.9207920792079,8.41980198019802,0.9372277227722772,1.5463917525773196
de Bordeaux / Masson,45.53898439552301,-73.5824453830719,16,600,767.9264705882352,7.648076923076923,0.9381029411764705,1.4242424242424243
Dollard / Van Horne,45.51887607468706,-73.6161071062088,16,601,560.5365853658536,7.832142857142857,0.9407073170731708,1.6216216216216217
Chabot / de Bellechasse,45.5425697477813,-73.59214425086974,16,602,638.0444444444445,7.845454545454545,0.9351555555555555,1.6444444444444444
Parc des Hirondelles (Fleury / André-Jobin),45.5762948651025,-73.646759390831,16,603,649.0,6.34,0.8945833333333333,1.2727272727272727
St-Patrick / Briand,45.46339729163665,-73.59643578529356,16,604,678.5416666666666,8.129411764705882,0.9360833333333334,1.45
Duvernay / Charlevoix,45.482097305112845,-73.57487753033638,16,606,508.0,8.0765625,0.9445194805194804,1.75
Newman / Senkus,45.44404309237571,-73.61375212669373,16,607,130215.52777777778,6.4875,0.9490000000000001,1.3548387096774193
St-Marc / Sherbrooke,45.49444855920154,-73.58337610960007,15,609,662.2840909090909,8.0625,0.9690454545454545,1.7176470588235293
Parc Villeray (Christophe-Colomb / Jarry),45.54811499296316,-73.62433344125746,15,610,738.625,7.703571428571428,0.94425,1.475
St-Dominique / Gounod,45.53859480227864,-73.62781092524529,15,611,701.2622950819672,7.992727272727273,0.9376065573770492,1.5964912280701755
Garnier / Beaubien,45.54151022813099,-73.5984206199646,15,612,703.796875,8.095121951219511,0.945296875,1.5901639344262295
Lebrun / Bédard,45.5470644513283,-73.45196210302673,15,613,685.5,6.666666666666667,0.8973333333333334,1.0
Parc Luigi-Pirandello (de Bretagne / Jean-Rivard),45.57940569041942,-73.60258877277374,15,614,793.1578947368421,6.8,0.9440526315789475,1.3333333333333333
Villeneuve / du Parc,45.51801230878908,-73.59256982808802,15,615,646.9126213592233,8.587378640776699,0.9426699029126213,1.65
des Ormeaux / de Grosbois,45.605901731906485,-73.53436946868896,15,616,521.8095238095239,7.057142857142858,0.9273333333333333,1.1904761904761905
Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,15,617,662.7045454545455,7.361290322580646,0.9134772727272726,1.775
Plymouth / Chem.Eden,45.506488823782234,-73.66047888994217,15,618,431.7894736842105,6.766666666666667,0.9038947368421052,1.9333333333333333
Cartier / Gillford,45.535287965154666,-73.57738137245178,15,619,605.7746478873239,8.010714285714286,0.9309154929577464,1.5
Parc Grovehill (St-Antoine / Ivan-Franko),45.43982382100397,-73.69487822055817,15,621,514.2758620689655,6.52,0.9394137931034482,1.28
St-Charles / Montarville,45.53368199320325,-73.51526074111462,15,622,593.8913043478261,7.110714285714286,0.8756086956521739,1.7380952380952381
